# FORMAT: DIFFICULTE;mot;indice1;indice2;indice3
# Thème: Trump méchant / satirique

# ===================== FACILE =====================
FACILE;orange;couleur_de_peau;fruit_acide;bronzage_rate
FACILE;perruque;faux_cheveux;blond_douteux;vent_ennemi
FACILE;golf;sport_prefere;vacances_eternelles;petit_trou
FACILE;tweet;gazouillis;message_rageur;3h_du_matin
FACILE;mur;frontiere;mexique;construction_promise
FACILE;fake;faux;news_preferees;tout_est_ca
FACILE;ego;demesure;enorme;plus_grand_que_tout
FACILE;riche;milliardaire;ou_pas;herite_de_papa
FACILE;bronzage;artificiel;orange_fluo;lampe_uv
FACILE;menteur;verite_alternative;fact_check;constant
FACILE;colere;emotion_favorite;rouge_de_rage;twitter
FACILE;cheveux;mystere_capillaire;volent_au_vent;jaune_paille
FACILE;doigts;petits;minuscules;mains_enfant
FACILE;hamburger;fast_food;mcdonald;diner_presidentiel
FACILE;cravate;trop_longue;rouge_souvent;mal_nouee
FACILE;procès;nombreux;justice;avocat_occupe
FACILE;luxe;dore;clinquant;mauvais_gout
FACILE;casino;faillite;atlantic_city;perdu
FACILE;famille;dynastie;nepotisme;tous_au_pouvoir
FACILE;crime;accusation;enquete;probable

# ===================== MOYEN =====================
MOYEN;narcissique;miroir_adore;moi_moi_moi;ego_surdimensionne
MOYEN;impeachment;destitution;deux_fois;record_battu
MOYEN;insurrection;capitole;janvier;emeute_supporteurs
MOYEN;classified;documents_secrets;maralago;boites_cachees
MOYEN;banqueroute;faillite;six_fois;business_genie
MOYEN;fraudeur;arnaque;universite_trump;etudiants_voles
MOYEN;misogyne;femmes_objets;remarques_degoutantes;vestiaire
MOYEN;complotiste;theories_folles;election_volee;qanon_ami
MOYEN;dictateur;admire_poutine;envie_pouvoir;democratie_optionnelle
MOYEN;xenophobe;etrangers_dehors;racisme_latent;mur_obsession
MOYEN;corrompu;pots_de_vin;hotel_washington;business_president
MOYEN;incompetent;covid_desastre;injections_javel;stable_genius
MOYEN;demagogue;populisme;foules_manipulees;slogans_vides
MOYEN;vulgaire;langage_ordurier;insultes_publiques;sans_classe
MOYEN;coward;bone_spurs;vietnam_evite;faux_dur
MOYEN;vengeur;rancunier;ennemis_liste;loyaute_exigee
MOYEN;menteur;verites_alternatives;milliers_mensonges;pathologique
MOYEN;inculpe;charges_criminelles;histoire_judiciaire;mugshot_celebre
MOYEN;putschiste;coup_etat;certification_bloquee;pression_pence
MOYEN;mafieux;intimidation;temoins_menaces;organisation_criminelle

# ===================== DIFFICILE =====================
DIFFICILE;kleptocrate;vol_etatique;enrichissement_personnel;fondation_dissoute
DIFFICILE;megalomane;grandeur_delirante;meilleur_de_tous;psychiatrie_urgente
DIFFICILE;autoritarisme;pouvoir_absolu;institutions_attaquees;democratie_menacee
DIFFICILE;obstruction;justice_entravee;mueller_rapport;temoins_intimides
DIFFICILE;emoluments;profits_illegaux;hotels_diplomates;constitution_violee
DIFFICILE;sycophante;flatteurs_entoures;loyaute_aveugle;courtisans_pathétiques
DIFFICILE;nepotisme;famille_au_pouvoir;jared_ivanka;competence_absente
DIFFICILE;desinformation;fake_news_inverse;propaganda;verite_assassinee
DIFFICILE;instigateur;violence_encouragee;milices_armees;feu_aux_poudres
DIFFICILE;seditieux;rebellion_incitee;constitution_bafouee;crime_federal
DIFFICILE;sociopathe;empathie_zero;victimes_ignorees;covid_morts
DIFFICILE;ploutocrate;riches_au_pouvoir;taxes_evitees;peuple_oublie
DIFFICILE;kakistocratie;gouvernement_pires;incompetents_nommes;expertise_meprisee
DIFFICILE;charlatanisme;fausses_promesses;mur_paye_mexique;drainer_marais
DIFFICILE;supremaciste;racisme_tacite;charlottesville;deux_cotes
DIFFICILE;intimidation;temoins_menaces;procureurs_vires;obstruction_massive
DIFFICILE;malversation;detournement;fondation_fermee;argent_cancer_enfants
DIFFICILE;parjure;mensonges_sous_serment;depositions;verite_allergique
DIFFICILE;trahison;secrets_vendus;ennemis_nation;securite_compromise
DIFFICILE;hubris;orgueil_demesure;chute_annoncee;tragedie_grecque
MOYEN;bonjour
